35AF 0000 1E27 2CF3 371B 0000 0000 1FC5 13C4 1EE5 0000 1E55 0000 18B0 0000 5BC6 0000 1B26 0000 17E5 13FD 25C0 0000 0000
35B3 FFF6 1C4B 2CF3 371B E088 FFFA 1FC3 13B8 1EE8 FFB0 1D83 FFD1 1733 DB4A 5BAC FFFE 1AA4 FFFB 17EB 1407 25C0 EC88 FFFA
35B4 FFF6 1C47 2CF1 3713 E083 FFFA 1FBE 13BF 1EE9 FFB0 1D7A FFD1 172B DB5F 5BC0 FFFE 1AA2 FFFB 17F1 140C 25BA EC84 FFFA
35B2 FFF6 1C4A 2CF3 3702 E075 FFFA 1FB3 13C6 1EE9 FFB0 1D74 FFD1 1733 DB72 5BD1 FFFE 1AA0 FFFB 17F1 140D 25B7 EC88 FFFA
35AF FFF6 1C57 2CF6 36EE E066 FFFA 1FA7 13C6 1EE7 FFB0 1D75 FFD1 1738 DB77 5BD6 FFFE 1AA1 FFFB 17ED 1404 25C0 EC8B FFFA
35AC FFF6 1C5A 2CF7 36E4 E05F FFFA 1FA2 13CC 1EE7 FFB0 1D73 FFD1 1740 DB7A 5BD7 FFFE 1AA5 FFFB 17DA 13FE 25BD EC8D FFFA
35AB FFF6 1C5D 2CF8 36E4 E05F FFFA 1FA3 13CC 1EE5 FFB0 1D74 FFD1 1740 DB7A 5BD7 FFFE 1AA0 FFFB 17D6 13F9 25C5 EC8E FFFA
35AD FFF6 1C5D 2CF9 36E4 E060 FFFA 1FA4 13D2 1EE6 FFB0 1D74 FFD1 1744 DB7B 5BD8 FFFE 1AA0 FFFB 17D6 1401 25BA EC8F FFFA
35AB FFF6 1C5D 2CF8 36E5 E060 FFFA 1FA5 13D2 1EE4 FFB0 1D71 FFD1 1744 DB7C 5BD7 FFFE 1A9F FFFB 17D3 1401 25BA EC8F FFFA
35AC FFF6 1C5D 2CF9 36E5 E060 FFFA 1FA5 13DA 1EE5 FFB0 1D73 FFD1 1744 DB7A 5BD7 FFFE 1A9D FFFB 17D2 1400 25BD EC8F FFFA
35AC FFF6 1C5F 2CF9 36E4 E05F FFFA 1FA5 13DA 1EE6 FFB0 1D6E FFD1 174C DB7B 5BD7 FFFE 1A9A FFFB 17CE 1400 25BB EC8F FFFA
35AC FFF6 1C5F 2CF8 36E5 E060 FFFA 1FA5 13D6 1EE6 FFB0 1D6C FFD1 1746 DB7B 5BD6 FFFE 1A9C FFFB 17D2 1400 25B7 EC8F FFFA
35AD FFF6 1C60 2CF9 36E5 E060 FFFA 1FA5 13D8 1EE6 FFB0 1D72 FFD1 1745 DB79 5BD6 FFFE 1A9E FFFB 17D7 13FF 25B7 EC90 FFFA
35AC FFF6 1C73 2CFC 36EB E065 FFFA 1FAA 13DC 1EE4 FFB0 1D6F FFD1 1750 DB7B 5BD6 FFFE 1A9E FFFB 17D7 1401 25B1 EC95 FFFA
35A9 FFF6 1C85 2D05 3708 E079 FFFA 1FBC 13D8 1EE2 FFB0 1D75 FFD1 1760 DB7B 5BD4 FFFE 1AA9 FFFB 17C6 13F3 25B1 ECA2 FFFA
35BF FFF6 1C85 2D04 3708 E07D FFFA 1FBC 142F 1EF3 FFB0 1DDC FFD1 1760 DBBF 5C11 FFFE 1AA9 FFFB 18DB 14F4 25B0 ECA0 FFFA
35BF FFF6 1CA7 2D06 36D5 E059 FFFA 1FAC 1461 1EF3 FFB0 1D67 FFD1 17D3 DBD2 5C12 FFFE 1A5A FFFB 188A 14F4 2593 EC9F FFFA
35AE FFF6 1C8C 2D05 36D5 E059 FFFA 1FAC 1456 1EEC FFB0 1D68 FFD1 17B8 DBD3 5C2B FFFE 1A47 FFFB 182F 14B0 2593 EC9F FFFA
35AC FFF6 1C99 2CFC 368C E021 FFFA 1F7D 1453 1EE9 FFB0 1D42 FFD1 178A DBFC 5C44 FFFE 1A8E FFFB 1818 14A5 2565 EC92 FFFA
35AB FFF6 1C99 2D09 369E E02E FFFA 1F93 146A 1EE5 FFB0 1D42 FFD1 17C8 DBFC 5C3D FFFE 1A8E FFFB 17A7 141C 2565 ECA2 FFFA
35A9 FFF6 1C8F 2D09 36D4 E05A FFFA 1FAE 1470 1EE2 FFB0 1D65 FFD1 17C8 DBE4 5C27 FFFE 1A5F FFFB 1776 1415 2584 ECA2 FFFA
35AB FFF6 1C86 2D07 36E5 E065 FFFA 1FBE 1472 1EE2 FFB0 1D65 FFD1 17C6 DBAC 5BF8 FFFE 1A3E FFFB 1772 1434 2584 EC9F FFFA
35AC FFF6 1C84 2CFE 3704 E07D FFFA 1FCE 1472 1EE2 FFB0 1D60 FFD1 17C6 DB85 5BD0 FFFE 1A2F FFFB 177B 142C 2582 EC94 FFFA
35AF FFF6 1C5F 2CFD 370A E082 FFFA 1FD0 146F 1EE4 FFB0 1D63 FFD1 17B1 DB5C 5BAF FFFE 1A24 FFFB 17A6 145B 2582 EC92 FFFA
35BE FFF6 1C3D 2CF9 3706 E07F FFFA 1FCF 1483 1EF2 FFB0 1D59 FFD1 1799 DB71 5BCC FFFE 1A15 FFFB 17BE 148E 2570 EC8B FFFA
35D0 FFF6 1C69 2D21 36F7 E075 FFFA 1FC7 149A 1F06 FFB0 1D51 FFD1 17C3 DBA4 5BF1 FFFE 1A25 FFFB 17C8 14A4 2563 ECC6 FFFA
35D0 FFF6 1C94 2D2F 36F2 E076 FFFA 1FBE 149C 1F06 FFB0 1D6E FFD1 17EC DBA8 5BF1 FFFE 1A3D FFFB 17BB 1489 2592 ECD3 FFFA
35D3 FFF6 1C92 2D26 36F7 E076 FFFA 1FC9 149A 1EF8 FFB0 1D6E FFD1 17EC DBA0 5BE3 FFFE 1A32 FFFB 179B 1457 2592 ECC8 FFFA
35D6 FFF6 1C8A 2D18 3718 E08D FFFA 1FCD 148C 1F01 FFB0 1D9A FFD1 17DC DB6E 5BC2 FFFE 1A58 FFFB 17F1 1457 259C ECBC FFFA
35D6 FFF6 1C4F 2CF9 3718 E08D FFFA 1FCD 14A5 1F01 FFB0 1D9A FFD1 17B4 DB6A 5BBB FFFE 1A4B FFFB 17F1 1467 259B EC86 FFFA
35B7 FFF6 1C4A 2CF9 36FA E077 FFFA 1FCB 14A5 1EEC FFB0 1D50 FFD1 17BF DB6C 5BBE FFFE 1A08 FFFB 1790 1467 2572 EC86 FFFA
35B2 FFF6 1C4F 2CFC 36FA E077 FFFA 1FC9 148A 1EEA FFB0 1D52 FFD1 17B3 DB6A 5BBD FFFE 1A19 FFFB 1798 145A 2579 EC8F FFFA
