35AD 0000 1DAB 2CF6 36ED 0000 0000 1FA7 13C0 1EE3 0000 1E0A 0000 1844 0000 5BED 0000 1B11 0000 17DF 13EE 25C0 0000 0000
35AD FFF6 1C5F 2CF7 36EF E067 FFFA 1FA8 13BB 1EE4 FFB0 1D7B FFD1 173A DB6D 5BCC FFFE 1AAF FFFB 17DF 13F0 25CA EC8F FFFA
35AB FFF6 1C5F 2CF8 36F0 E068 FFFA 1FA8 13BB 1EE4 FFB0 1D7C FFD1 173A DB6C 5BCB FFFE 1AAC FFFB 17DB 13F2 25CF EC91 FFFA
35AB FFF6 1C5F 2CF8 36F0 E068 FFFA 1FAA 13BA 1EE3 FFB0 1D7C FFD1 1738 DB6B 5BCB FFFE 1AAF FFFB 17DC 13F1 25CF EC91 FFFA
35AB FFF6 1C5D 2CF8 36F0 E068 FFFA 1FA9 13B9 1EE4 FFB0 1D77 FFD1 1738 DB6B 5BCA FFFE 1AAF FFFB 17DD 13F2 25CD EC8E FFFA
35AB FFF6 1C5E 2CF7 36F0 E068 FFFA 1FAA 13BB 1EE3 FFB0 1D77 FFD1 1738 DB6B 5BC9 FFFE 1AA9 FFFB 17D9 13F2 25C2 EC8E FFFA
35AB FFF6 1C5E 2CF7 36F1 E069 FFFA 1FAA 13C4 1EE3 FFB0 1D79 FFD1 173E DB6B 5BC8 FFFE 1AA9 FFFB 17DB 13F8 25C1 EC8D FFFA
35AB FFF6 1C5E 2CF7 36F0 E068 FFFA 1FAA 13C4 1EE3 FFB0 1D79 FFD1 173B DB6B 5BC9 FFFE 1AA9 FFFB 17D9 13F8 25BE EC8D FFFA
35AC FFF6 1C5E 2CF7 36F0 E069 FFFA 1FAC 13C8 1EE4 FFB0 1D73 FFD1 1741 DB6B 5BC8 FFFE 1AA0 FFFB 17D7 13F9 25BE EC8D FFFA
35AC FFF6 1C70 2CF6 36F8 E06F FFFA 1FB1 13CD 1EE5 FFB0 1D77 FFD1 175B DB6A 5BC7 FFFE 1A9E FFFB 17D7 13F9 25C0 EC8C FFFA
35B0 FFF6 1C83 2CF5 3715 E085 FFFA 1FC3 13CD 1EE6 FFB0 1D80 FFD1 175C DB67 5BBF FFFE 1AAA FFFB 17B7 13EA 25C3 EC8B FFFA
35B0 FFF6 1C7C 2CF4 372D E097 FFFA 1FCF 13C0 1EEA FFB0 1D90 FFD1 175A DB49 5BA2 FFFE 1AA8 FFFB 17D6 13E5 25C4 EC8B FFFA
35CB FFF6 1C67 2D10 372D E097 FFFA 1FCF 146F 1F10 FFB0 1D9C FFD1 175D DBC2 5C15 FFFE 1AA4 FFFB 18FA 1518 25C4 ECA6 FFFA
35B4 FFF6 1C9A 2D0E 36B6 E044 FFFA 1FA5 14AA 1EEE FFB0 1D58 FFD1 17D6 DBE2 5C26 FFFE 1A30 FFFB 17E0 148D 2560 ECA6 FFFA
35AE FFF6 1C9A 2D0B 36CE E056 FFFA 1FB8 14D2 1EE5 FFB0 1D54 FFD1 17FA DBD9 5C15 FFFE 1A30 FFFB 1751 1456 2574 ECA1 FFFA
35AD FFF6 1C73 2D00 36EA E06B FFFA 1FC5 14D2 1EE5 FFB0 1D5C FFD1 17FA DB9E 5BEC FFFE 19E5 FFFB 1756 1464 2588 EC92 FFFA
35B1 FFF6 1C5A 2CFE 36F9 E076 FFFA 1FCA 14C5 1EE9 FFB0 1D6A FFD1 17DC DB79 5BCF FFFE 19F3 FFFB 175F 1464 25B6 EC8E FFFA
35BA FFF6 1C56 2CFE 36FF E077 FFFA 1FCA 14B1 1EF0 FFB0 1D93 FFD1 17CB DB61 5BBD FFFE 1A16 FFFB 17A8 1461 25B6 EC8F FFFA
35BC FFF6 1C56 2D06 36FC E07B FFFA 1FCA 14E2 1EF3 FFB0 1D85 FFD1 17CB DB8E 5BE0 FFFE 19EF FFFB 17BA 14B5 25A0 EC96 FFFA
35BC FFF6 1C55 2CFE 36E2 E066 FFFA 1FC2 1500 1EF2 FFB0 1D56 FFD1 17FF DB94 5BE0 FFFE 19CC FFFB 179D 14B5 255C EC8B FFFA
35B3 FFF6 1C57 2D01 36E7 E06B FFFA 1FC8 1500 1EEB FFB0 1D41 FFD1 17FF DB93 5BDB FFFE 19C7 FFFB 1758 1481 2567 EC93 FFFA
35C4 FFF6 1C80 2D01 36F8 E076 FFFA 1FCC 14F0 1EF0 FFB0 1D4B FFD1 17F8 DB7B 5BCD FFFE 1A0D FFFB 1758 1477 25A5 EC93 FFFA
