35AC 0000 1DB5 2CF7 36F3 0000 0000 1FAB 13C3 1EE5 0000 1E15 0000 1857 0000 5BE7 0000 1B0C 0000 17DB 13F0 25C1 0000 0000
35AC FFF6 1C5D 2CF7 36F5 E06B FFFA 1FAC 13BF 1EE5 FFB0 1D7C FFD1 173E DB67 5BC6 FFFE 1AAB FFFB 17DB 13F1 25CC EC8E FFFA
35AC FFF6 1C5D 2CF7 36F5 E06B FFFA 1FAC 13BF 1EE3 FFB0 1D7B FFD1 173B DB67 5BC5 FFFE 1AAB FFFB 17DA 13F6 25C4 EC8E FFFA
35AC FFF6 1C5D 2CF8 36F4 E06B FFFA 1FAC 13BD 1EE3 FFB0 1D74 FFD1 173A DB67 5BC4 FFFE 1AA8 FFFB 17D9 13F6 25C1 EC8F FFFA
35AC FFF6 1C5C 2CF7 36F4 E06B FFFA 1FAD 13C7 1EE4 FFB0 1D78 FFD1 173F DB67 5BC4 FFFE 1AA4 FFFB 17D7 13FC 25BB EC8E FFFA
35AD FFF6 1C5A 2CF7 36F3 E06B FFFA 1FAE 13CF 1EE4 FFB0 1D76 FFD1 1743 DB68 5BC4 FFFE 1AA2 FFFB 17D7 13FC 25B9 EC8D FFFA
35AD FFF6 1C5D 2CF7 36F4 E06B FFFA 1FAE 13CF 1EE3 FFB0 1D72 FFD1 1743 DB68 5BC4 FFFE 1AA2 FFFB 17D6 13FC 25B9 EC8F FFFA
35AC FFF6 1C5D 2CF8 36F4 E06B FFFA 1FAF 13D2 1EE3 FFB0 1D77 FFD1 1743 DB67 5BC3 FFFE 1AA3 FFFB 17DA 13FD 25B3 EC91 FFFA
35AC FFF6 1C5A 2CF8 36F4 E06C FFFA 1FB0 13D6 1EE4 FFB0 1D77 FFD1 174A DB67 5BC3 FFFE 1AA1 FFFB 17D4 13FD 25B3 EC8E FFFA
35AB FFF6 1C62 2CF9 36F7 E06D FFFA 1FB1 13CA 1EE4 FFB0 1D75 FFD1 1745 DB67 5BC1 FFFE 1AA8 FFFB 17D6 13FC 25B4 EC90 FFFA
35AB FFF6 1C7E 2CFC 370D E07D FFFA 1FBF 13CB 1EE3 FFB0 1D7A FFD1 175B DB66 5BC1 FFFE 1AAA FFFB 17D3 13F3 25BC EC94 FFFA
35A8 FFF6 1C7E 2CFA 3727 E092 FFFA 1FCE 13C0 1EE0 FFB0 1D81 FFD1 175B DB57 5BAD FFFE 1AAA FFFB 17B8 13D8 25C1 EC92 FFFA
35C9 FFF6 1C73 2CF9 3727 E092 FFFA 1FCE 1465 1EFD FFB0 1DED FFD1 176C DBC7 5C19 FFFE 1AA6 FFFB 1932 1538 25BF EC91 FFFA
35BD FFF6 1C43 2CF6 36B1 E036 FFFA 1F90 1489 1EF2 FFB0 1D36 FFD1 178F DBE6 5C2A FFFE 1A36 FFFB 1804 14A7 2559 EC87 FFFA
35B8 FFF6 1CB5 2D04 3691 E028 FFFA 1F8B 148E 1EF2 FFB0 1D21 FFD1 17DB DBFB 5C33 FFFE 1A58 FFFB 17AF 146B 252F ECA2 FFFA
35B8 FFF6 1CBB 2D07 36C1 E04C FFFA 1FB1 14B6 1EF2 FFB0 1D66 FFD1 17F1 DBFB 5C30 FFFE 1A58 FFFB 1761 1437 2539 ECA5 FFFA
