1468 0000 DA3E 0000 02EB 1360 F762 0000 0271 0000 E200 239B 7FFF 0000 C329 03EF 8000 0B59 93BD 036E 9712 0000 8B85 055B
108B 0000 DAC6 0F81 FDF0 1418 F153 0000 032D 0000 E85A 2842 7FFF 0000 B683 0017 8000 0F96 84FE 0189 900A 0000 87E7 09B3
108B 0000 DAC6 0F7F FDF0 1417 F153 0000 032D 0000 E859 283D 7FFF 0000 B682 001A 8000 0FA1 84FE 018B 9009 0000 87E7 09AC
108B 0000 DAC6 0F80 FDF0 1418 F153 0000 032D 0000 E85A 2842 7FFF 0000 B682 0018 8000 0F9C 84FF 0189 9009 0000 87E7 09B1
108B 0000 DAC6 0F80 FDF0 1416 F153 0000 032D 0000 E859 283C 7FFF 0000 B684 0019 8000 0FA4 8500 018B 9009 0000 87E7 09AC
109B 0000 DAC6 0F81 FDF1 1418 F148 0000 0330 0000 E854 2834 7FFF 0000 B689 001D 8000 0FAF 850A 018B 8FF8 0000 87E2 099F
1087 0000 DACF 0F80 FDF0 1460 F17E 0000 0327 0000 E841 2877 7FFF 0000 B671 0034 8000 101F 8525 0189 9003 0000 87F0 0948
105E 0000 DACB 0FA0 FDFB 140D F1AD 0000 031E 0000 E859 2815 7FFF 0000 B68C 0021 8000 102B 850F 019D 902A 0000 880A 0995
1083 0000 DACA 0F7C FE01 1414 F16D 0000 032B 0000 E858 280F 7FFF 0000 B6AD 0023 8000 1010 852B 0193 8FFE 0000 87F6 0989
108A 0000 DAC7 0F7A FDF9 1416 F154 0000 0330 0000 E85A 2805 7FFF 0000 B6A0 002C 8000 100C 8520 018E 8FF7 0000 87EB 0976
1086 0000 DACA 0F6B FDF1 141E F15B 0000 032D 0000 E857 2820 7FFF 0000 B681 0029 8000 0FF9 8519 018D 9002 0000 87EC 0990
1080 0000 DAC9 0F80 FDF3 141C F15F 0000 032D 0000 E86D 2815 7FFF 0000 B68C 0028 8000 100E 8515 0187 9003 0000 87EF 098A
1091 0000 DAC7 0F39 FDF3 1437 F148 0000 0332 0000 E84D 285E 7FFF 0000 B692 0018 8000 0F44 8518 0162 8FF5 0000 87E6 09BD
109E 0000 DAC5 0F79 FDF9 1449 F13F 0000 0336 0000 E846 287B 7FFF 0000 B6AA 001A 8000 0F54 8526 0162 8FE1 0000 87E1 09A9
1084 0000 DACF 0F9B FDF3 144E F183 0000 0327 0000 E843 286C 7FFF 0000 B679 0024 8000 0FD0 852B 0177 9003 0000 87F5 098E
1085 0000 DAC9 0F78 FDF1 1416 F159 0000 032D 0000 E858 280A 7FFF 0000 B685 002C 8000 1002 850F 018E 9004 0000 87EC 0984
